Report,Measure,state,Rank,Data Year(s)
2025 Annual,Asthma,AK,23,2024
2025 Annual,Asthma,AL,26,2024
2025 Annual,Asthma,AR,30,2024
2025 Annual,Asthma,AZ,30,2024
2025 Annual,Asthma,CA,1,2024
2025 Annual,Asthma,CO,37,2024
2025 Annual,Asthma,CT,37,2024
2025 Annual,Asthma,DE,26,2024
2025 Annual,Asthma,FL,5,2024
2025 Annual,Asthma,GA,16,2024
2025 Annual,Asthma,HI,10,2024
2025 Annual,Asthma,IA,9,2024
2025 Annual,Asthma,ID,14,2024
2025 Annual,Asthma,IL,19,2024
2025 Annual,Asthma,IN,29,2024
2025 Annual,Asthma,KS,33,2024
2025 Annual,Asthma,KY,44,2024
2025 Annual,Asthma,LA,17,2024
2025 Annual,Asthma,MA,35,2024
2025 Annual,Asthma,MD,17,2024
2025 Annual,Asthma,ME,47,2024
2025 Annual,Asthma,MI,44,2024
2025 Annual,Asthma,MN,7,2024
2025 Annual,Asthma,MO,20,2024
2025 Annual,Asthma,MS,5,2024
2025 Annual,Asthma,MT,42,2024
2025 Annual,Asthma,NC,7,2024
2025 Annual,Asthma,ND,12,2024
2025 Annual,Asthma,NE,10,2024
2025 Annual,Asthma,NH,46,2024
2025 Annual,Asthma,NJ,15,2024
2025 Annual,Asthma,NM,22,2024
2025 Annual,Asthma,NV,3,2024
2025 Annual,Asthma,NY,23,2024
2025 Annual,Asthma,OH,35,2024
2025 Annual,Asthma,OK,43,2024
2025 Annual,Asthma,OR,49,2024
2025 Annual,Asthma,PA,39,2024
2025 Annual,Asthma,RI,40,2024
2025 Annual,Asthma,SC,12,2024
2025 Annual,Asthma,SD,4,2024
2025 Annual,Asthma,TX,2,2024
2025 Annual,Asthma,UT,34,2024
2025 Annual,Asthma,VA,25,2024
2025 Annual,Asthma,VT,40,2024
2025 Annual,Asthma,WA,26,2024
2025 Annual,Asthma,WI,32,2024
2025 Annual,Asthma,WV,48,2024
2025 Annual,Asthma,WY,20,2024
2025 Annual,Cancer,AK,4,2024
2025 Annual,Cancer,AL,25,2024
2025 Annual,Cancer,AR,25,2024
2025 Annual,Cancer,AZ,34,2024
2025 Annual,Cancer,CA,2,2024
2025 Annual,Cancer,CO,21,2024
2025 Annual,Cancer,CT,16,2024
2025 Annual,Cancer,DE,46,2024
2025 Annual,Cancer,FL,47,2024
2025 Annual,Cancer,GA,10,2024
