state,pipeline_projects,projects_reporting_mw,reported_pipeline_mw,explicit_onsite_projects,reported_onsite_mw,reported_no_onsite_evidence_mw,generation_mwh_2024,average_generation_mw_2024,pipeline_share_of_average_generation_pct,reported_onsite_share_of_generation_pct,reported_no_onsite_share_of_generation_pct,mw_reporting_rate_pct
AK,2,2,3500.0,1,3000.0,500.0,6683171.98,762.9191757990868,458.7641929872946,393.2264511319668,65.5377418553278,100.0
AL,5,5,3108.0,0,0.0,3108.0,142920820.765,16315.162187785387,19.049764655890794,0.0,19.049764655890794,100.0
AR,5,1,150.0,0,0.0,150.0,50609644.498,5777.356677853882,2.5963430745930784,0.0,2.5963430745930784,20.0
AZ,20,9,6446.0,1,700.0,5746.0,115288637.837,13160.803406050229,48.97877280832774,5.318824226780859,43.65994858154688,45.0
CA,19,15,1844.0,1,275.0,1569.0,213099337.636,24326.408405936072,7.5802394222323075,1.1304586990856207,6.449780723146687,78.94736842105263
CO,5,5,2893.0,1,2000.0,893.0,54487056.73,6219.983644977168,46.51137631746328,32.15442538365937,14.35695093380391,100.0
CT,2,0,0.0,0,0.0,0.0,41166810.221,4699.407559474886,0.0,0.0,0.0,0.0
FL,7,2,316.0,0,0.0,316.0,266064642.891,30372.67612910959,1.0404088156629085,0.0,1.0404088156629085,28.571428571428573
GA,85,28,11307.0,1,500.0,10807.0,139801970.838,15959.12909109589,70.84973080585291,3.133003042621956,67.71672776323096,32.94117647058823
HI,1,0,0.0,1,0.0,0.0,8784236.879999999,1002.7667671232875,0.0,0.0,0.0,0.0
IA,16,8,1065.0,0,0.0,1065.0,69692165.125,7955.7266124429225,13.38658367589351,0.0,13.38658367589351,50.0
ID,1,1,60.0,0,0.0,60.0,19882886.03,2269.735848173516,2.6434794184654895,0.0,2.6434794184654895,100.0
IL,27,15,8528.0,0,0.0,8528.0,184205610.836,21028.037766666665,40.55537703816787,0.0,40.55537703816787,55.55555555555556
IN,24,8,9733.0,0,0.0,9733.0,92437136.236,10552.184501826485,92.23682544894196,0.0,92.23682544894196,33.333333333333336
KS,6,4,2250.0,0,0.0,2250.0,57696154.944,6586.319057534246,34.16172190179842,0.0,34.16172190179842,66.66666666666667
KY,10,7,2615.0,0,0.0,2615.0,66949247.216,7642.608129680365,34.2160680703299,0.0,34.2160680703299,70.0
LA,6,3,2045.0,0,0.0,2045.0,87364249.472,9973.087839269407,20.50518388044008,0.0,20.50518388044008,50.0
MA,3,1,300.0,0,0.0,300.0,20884727.979,2384.1013674657534,12.583357574216457,0.0,12.583357574216457,33.333333333333336
MD,10,6,1496.0,0,0.0,1496.0,35319509.138,4031.9074358447483,37.10402641440017,0.0,37.10402641440017,60.0
ME,3,2,57.0,0,0.0,57.0,14532852.54,1659.0014315068493,3.435801736965811,0.0,3.435801736965811,66.66666666666667
MI,17,9,4048.5,0,0.0,4048.5,115915259.63,13232.335574200913,30.595505814509124,0.0,30.595505814509124,52.94117647058823
MN,7,3,1512.0,1,1200.0,312.0,58180879.353,6641.6528941780825,22.76541734551325,18.067791544058135,4.697625801455115,42.857142857142854
MO,25,8,3680.0,0,0.0,3680.0,66855636.965,7631.922027968037,48.218521972764215,0.0,48.218521972764215,32.0
MS,8,4,2146.0,0,0.0,2146.0,72340613.456,8258.060896803652,25.986730139403868,0.0,25.986730139403868,50.0
MT,4,4,2010.0,0,0.0,2010.0,26868403.96,3067.1694018264843,65.53273512715192,0.0,65.53273512715192,100.0
NC,18,5,1413.0,0,0.0,1413.0,129695864.981,14805.46403892694,9.543773814079051,0.0,9.543773814079051,27.77777777777778
ND,2,1,280.0,0,0.0,280.0,42557243.131,4858.132777511415,5.763531233566456,0.0,5.763531233566456,50.0
NE,2,0,0.0,0,0.0,0.0,37228935.526,4249.878484703197,0.0,0.0,0.0,0.0
NJ,5,1,300.0,0,0.0,300.0,60103856.69,6861.17085502283,4.3724315621783445,0.0,4.3724315621783445,20.0
NM,3,3,8940.0,0,0.0,8940.0,39653341.639,4526.637173401827,197.49760490040498,0.0,197.49760490040498,100.0
NV,13,10,5302.0,1,170.0,5132.0,45335673.391,5175.3051816210045,102.44806468281185,3.284830440603171,99.16323424220867,76.92307692307692
NY,16,14,3642.0,0,0.0,3642.0,128919041.642,14716.785575570777,24.747251913798088,0.0,24.747251913798088,87.5
OH,43,18,15635.0,8,11491.0,4144.0,129605351.925,14795.13149828767,105.67665452523713,77.6674408154461,28.009213709791023,41.86046511627907
OK,6,0,0.0,0,0.0,0.0,93928231.145,10722.400815639268,0.0,0.0,0.0,0.0
OR,8,4,1256.0,1,1200.0,56.0,64434950.736,7355.587983561644,17.075453421356983,16.314127472634063,0.7613259487229229,50.0
PA,51,19,17284.0,6,10230.0,7054.0,241453536.209,27563.18906495434,62.706822346533265,37.114718387238796,25.592103959294473,37.254901960784316
SC,6,5,1494.0,0,0.0,1494.0,95947358.277,10952.894780479452,13.640229637398212,0.0,13.640229637398212,83.33333333333333
SD,2,2,502.0,0,0.0,502.0,19434117.482,2218.506561872146,22.627834806869984,0.0,22.627834806869984,100.0
TN,8,4,1805.0,0,0.0,1805.0,76166766.272,8694.836332420091,20.7594476881614,0.0,20.7594476881614,50.0
TX,137,74,52791.0,1,300.0,52491.0,563821610.52,64363.1975479452,82.02047444997604,0.46610487270543866,81.5543695772706,54.01459854014598
UT,10,7,13225.0,1,1500.0,11725.0,31528423.799,3599.135136872146,367.4493870628398,41.6766790619478,325.77270800089195,70.0
VA,263,25,10971.0,0,0.0,10971.0,102682745.176,11721.774563470319,93.59504348590674,0.0,93.59504348590674,9.505703422053232
WA,3,1,20.0,0,0.0,20.0,102377394.111,11686.917135958904,0.17113152910499363,0.0,0.17113152910499363,33.333333333333336
WI,11,2,1325.0,0,0.0,1325.0,65276334.974,7451.636412557077,17.78132918250258,0.0,17.78132918250258,18.181818181818183
WV,12,7,9353.0,4,8453.0,900.0,50594818.008,5775.664156164384,161.93808620290906,146.35546270428637,15.582623498622704,58.333333333333336
WY,5,2,1500.0,0,0.0,1500.0,40258891.511,4595.763871118722,32.638752600552195,0.0,32.638752600552195,40.0
