state,pipeline_projects,projects_with_reported_mw,projects_with_imputed_mw,reported_pipeline_mw,imputed_pipeline_mw,explicit_onsite_projects,reported_onsite_mw,reported_no_onsite_evidence_mw,estimated_onsite_mw,estimated_no_onsite_evidence_mw,generation_mwh_2024,average_generation_mw_2024,reported_share_pct,imputed_share_pct,combined_share_pct,reported_onsite_mw_share_pct,reported_no_onsite_evidence_mw_share_pct,estimated_onsite_mw_share_pct,estimated_no_onsite_evidence_mw_share_pct,projects_still_missing_mw
AK,2,2,0,3500.0,0.0,1,3000.0,500.0,0.0,0.0,6683171.98,762.9191757990868,458.7641929872946,0.0,458.7641929872946,393.2264511319668,65.5377418553278,0.0,0.0,0
AL,5,5,0,3108.0,0.0,0,0.0,3108.0,0.0,0.0,142920820.765,16315.162187785387,19.049764655890794,0.0,19.049764655890794,0.0,19.049764655890794,0.0,0.0,0
AR,5,1,2,150.0,391.997675757584,0,0.0,150.0,0.0,391.997675757584,50609644.498,5777.356677853882,2.5963430745930784,6.785069671398575,9.381412745991653,0.0,2.5963430745930784,0.0,6.785069671398575,2
AZ,20,9,2,6446.0,291.31662363369685,1,700.0,5746.0,0.0,291.31662363369685,115288637.837,13160.803406050229,48.97877280832774,2.2135170220670113,51.19228983039475,5.318824226780859,43.65994858154688,0.0,2.2135170220670113,9
CA,19,15,3,1844.0,137.48992696309722,1,275.0,1569.0,0.0,137.48992696309722,213099337.636,24326.408405936072,7.5802394222323075,0.5651879417166541,8.145427363948961,1.1304586990856207,6.449780723146687,0.0,0.5651879417166541,1
CO,5,5,0,2893.0,0.0,1,2000.0,893.0,0.0,0.0,54487056.73,6219.983644977168,46.51137631746328,0.0,46.51137631746328,32.15442538365937,14.35695093380391,0.0,0.0,0
CT,2,0,2,0.0,327.04294049580767,0,0.0,0.0,0.0,327.04294049580767,41166810.221,4699.407559474886,0.0,6.95923765616855,6.95923765616855,0.0,0.0,0.0,6.95923765616855,0
FL,7,2,5,316.0,1342.9118405608704,0,0.0,316.0,0.0,1342.9118405608704,266064642.891,30372.67612910959,1.0404088156629085,4.421447207524151,5.46185602318706,0.0,1.0404088156629085,0.0,4.421447207524151,0
GA,85,28,44,11307.0,23108.788341134023,1,500.0,10807.0,0.0,23108.788341134023,139801970.838,15959.12909109589,70.84973080585291,144.79980836815938,215.6495391740123,3.133003042621956,67.71672776323096,0.0,144.79980836815938,13
HI,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,8784236.879999999,1002.7667671232875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IA,16,8,3,1065.0,89.46827760469701,0,0.0,1065.0,0.0,89.46827760469701,69692165.125,7955.7266124429225,13.38658367589351,1.1245770746416395,14.511160750535149,0.0,13.38658367589351,0.0,1.1245770746416395,5
ID,1,1,0,60.0,0.0,0,0.0,60.0,0.0,0.0,19882886.03,2269.735848173516,2.6434794184654895,0.0,2.6434794184654895,0.0,2.6434794184654895,0.0,0.0,0
IL,27,15,6,8528.0,586.118887026687,0,0.0,8528.0,0.0,586.118887026687,184205610.836,21028.037766666665,40.55537703816787,2.7873208785833268,43.3426979167512,0.0,40.55537703816787,0.0,2.7873208785833268,6
